epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2003.97,1.03638,0.75155,1.13412,0.8813,0.90744,0.93574,0.62704,1.21127,0.69483,1.29943,3.33302e-05,3.33302e-05,3.33302e-05
105,2020.09,1.0295,0.7542,1.13495,0.89194,0.88537,0.93797,0.6307,1.18671,0.70048,1.28975,3.29936e-05,3.29936e-05,3.29936e-05
106,2037.45,1.01408,0.75949,1.12389,0.88496,0.902,0.93721,0.63299,1.18229,0.69554,1.29397,3.2657e-05,3.2657e-05,3.2657e-05
107,2054.55,1.01609,0.7297,1.12838,0.89488,0.89029,0.93771,0.63374,1.18619,0.69643,1.2898,3.23204e-05,3.23204e-05,3.23204e-05
108,2070.25,1.03918,0.74945,1.1284,0.87925,0.89326,0.93419,0.63324,1.18702,0.69287,1.29591,3.19838e-05,3.19838e-05,3.19838e-05
109,2086.12,1.00857,0.72061,1.11047,0.88664,0.91337,0.93604,0.63467,1.18639,0.67893,1.28878,3.16472e-05,3.16472e-05,3.16472e-05
110,2104.69,1.02158,0.73851,1.13339,0.89483,0.89412,0.93184,0.62635,1.18828,0.68573,1.29759,3.13106e-05,3.13106e-05,3.13106e-05
111,2120.33,1.01856,0.73666,1.12423,0.88986,0.89648,0.93817,0.63121,1.1859,0.69013,1.29641,3.0974e-05,3.0974e-05,3.0974e-05
112,2137.73,1.01367,0.72113,1.11767,0.91356,0.87949,0.93698,0.63348,1.18365,0.69335,1.29539,3.06374e-05,3.06374e-05,3.06374e-05
113,2155.57,1.03221,0.75627,1.13734,0.88896,0.90444,0.93751,0.63165,1.18844,0.6834,1.29081,3.03008e-05,3.03008e-05,3.03008e-05
114,2172.16,1.01047,0.73554,1.11392,0.90938,0.87715,0.93878,0.63518,1.18357,0.68594,1.29206,2.99642e-05,2.99642e-05,2.99642e-05
115,2188.49,1.00205,0.72156,1.12232,0.88386,0.90605,0.93736,0.64064,1.17087,0.67972,1.28805,2.96276e-05,2.96276e-05,2.96276e-05
116,2204.25,1.03395,0.75806,1.12565,0.91396,0.8816,0.93784,0.63426,1.1846,0.67415,1.29124,2.9291e-05,2.9291e-05,2.9291e-05
117,2219.45,1.01875,0.74249,1.12676,0.89553,0.89381,0.93639,0.63192,1.17586,0.68186,1.29204,2.89544e-05,2.89544e-05,2.89544e-05
118,2236.3,1.01537,0.72333,1.12299,0.89085,0.89674,0.9395,0.63548,1.1992,0.68729,1.29921,2.86178e-05,2.86178e-05,2.86178e-05
119,2252.36,1.04468,0.7618,1.14746,0.899,0.89591,0.9416,0.64094,1.17331,0.67537,1.28873,2.82812e-05,2.82812e-05,2.82812e-05
120,2268.22,1.01305,0.72584,1.12194,0.91188,0.88615,0.94065,0.63765,1.17799,0.67435,1.29177,2.79446e-05,2.79446e-05,2.79446e-05
121,2285.08,1.01733,0.73402,1.12006,0.90151,0.87116,0.92966,0.63388,1.17421,0.68331,1.29327,2.7608e-05,2.7608e-05,2.7608e-05
122,2304.16,1.01669,0.72695,1.12879,0.899,0.86989,0.92793,0.63603,1.18155,0.69143,1.29135,2.72714e-05,2.72714e-05,2.72714e-05
123,2319.59,1.02313,0.73773,1.1229,0.89281,0.87552,0.92573,0.62753,1.18975,0.69427,1.29666,2.69348e-05,2.69348e-05,2.69348e-05
124,2336.31,1.01998,0.74366,1.12875,0.89518,0.89687,0.93638,0.63244,1.18553,0.6883,1.29102,2.65982e-05,2.65982e-05,2.65982e-05
125,2354.58,1.02815,0.74639,1.13449,0.90601,0.89147,0.93651,0.63391,1.1843,0.68202,1.29316,2.62616e-05,2.62616e-05,2.62616e-05
126,2372.15,1.01996,0.73207,1.12158,0.89959,0.89811,0.93755,0.62922,1.19361,0.68179,1.29509,2.5925e-05,2.5925e-05,2.5925e-05
127,2386.78,1.01193,0.71706,1.12681,0.91351,0.87671,0.93741,0.63437,1.20176,0.68409,1.29873,2.55884e-05,2.55884e-05,2.55884e-05
128,2402.43,1.00841,0.7254,1.11813,0.91168,0.87279,0.93553,0.63597,1.18752,0.69116,1.30073,2.52518e-05,2.52518e-05,2.52518e-05
129,2418.74,1.01156,0.73155,1.12151,0.89518,0.89999,0.93505,0.62973,1.19192,0.69775,1.30397,2.49152e-05,2.49152e-05,2.49152e-05
130,2436.39,1.02173,0.73525,1.13039,0.89022,0.87812,0.92464,0.6307,1.18844,0.68343,1.29707,2.45786e-05,2.45786e-05,2.45786e-05
131,2452.85,1.0208,0.74037,1.12821,0.89276,0.89804,0.93407,0.63148,1.18829,0.6855,1.29773,2.4242e-05,2.4242e-05,2.4242e-05
132,2469.3,1.03238,0.75817,1.12884,0.89804,0.88909,0.93536,0.62996,1.18937,0.6801,1.29565,2.39054e-05,2.39054e-05,2.39054e-05
133,2484.7,1.01019,0.73006,1.11972,0.88693,0.90527,0.93498,0.6345,1.1881,0.68348,1.29413,2.35688e-05,2.35688e-05,2.35688e-05
134,2503.13,1.01456,0.73461,1.126,0.9121,0.89116,0.93511,0.63131,1.19675,0.68461,1.29889,2.32322e-05,2.32322e-05,2.32322e-05
135,2517.46,1.00875,0.72697,1.11853,0.90595,0.89705,0.93629,0.63437,1.18766,0.68233,1.298,2.28956e-05,2.28956e-05,2.28956e-05
136,2533.37,0.99756,0.70889,1.10717,0.90285,0.87496,0.9234,0.62879,1.20175,0.68579,1.30928,2.2559e-05,2.2559e-05,2.2559e-05
137,2549,1.00751,0.71619,1.11696,0.87973,0.88417,0.92324,0.63153,1.18891,0.68549,1.30759,2.22224e-05,2.22224e-05,2.22224e-05
